id,Age,Department,JobRole,Gender,Attrition,MonthlyIncome,PerformanceRating,YearsAtCompany
65,29,Research & Development,Research Scientist,Female,0,4787,3,10
66,29,Research & Development,Research Scientist,Male,1,2496,3,1
68,33,Sales,Sales Executive,Female,0,5507,3,5
69,38,Research & Development,Healthcare Representative,Male,0,4422,3,11
70,35,Research & Development,Research Director,Female,0,10725,3,19
71,26,IT,Manufacturing Director,Female,0,6162,3,8
72,26,Human Resources,Laboratory Technician,Male,0,3875,3,5
73,33,Research & Development,Healthcare Representative,Female,0,4448,3,5
77,34,Sales,Sales Executive,Male,0,5346,3,9
78,34,Sales,Sales Executive,Male,0,7637,3,3
79,35,Research & Development,Manager,Male,1,13348,3,33
80,43,IT,Manufacturing Director,Male,0,6220,3,10
81,28,Research & Development,Research Scientist,Male,1,2564,4,1
82,35,Research & Development,Healthcare Representative,Male,0,5309,3,15
83,33,Research & Development,Laboratory Technician,Male,0,2559,3,1
84,26,Research & Development,Laboratory Technician,Female,0,3989,3,8
85,30,Research & Development,Research Scientist,Female,0,2585,3,1
86,46,Sales,Sales Executive,Male,0,6384,3,3
87,43,Research & Development,Laboratory Technician,Female,0,5253,3,8
88,49,Unknown,Manufacturing Director,Male,0,4171,3,3
89,24,Research & Development,Research Scientist,Male,1,2693,3,5
90,27,Sales,Sales Representative,Male,1,1232,3,0
91,29,Research & Development,Research Scientist,Male,0,3944,3,5
94,43,Human Resources,Laboratory Technician,Male,0,1569,3,1
95,27,Research & Development,Research Scientist,Male,0,2514,3,5
97,46,Human Resources,Healthcare Representative,Male,0,6540,3,5
98,32,Sales,Sales Executive,Male,0,10673,4,13
99,36,Research & Development,Manufacturing Director,Male,0,5163,3,5
100,26,Human Resources,Human Resources,Male,1,2942,3,5
101,28,Research & Development,Laboratory Technician,Male,0,4301,3,5
102,35,Research & Development,Research Scientist,Male,0,2132,3,5
103,23,Research & Development,Manufacturing Director,Male,0,6146,3,8
104,31,Sales,Sales Executive,Male,1,9278,4,2
105,47,Research & Development,Research Scientist,Male,0,2782,3,5
106,33,IT,Manager,Male,0,2013,3,15
107,37,Research & Development,Manufacturing Director,Male,1,5906,3,3
108,31,Research & Development,Research Scientist,Male,1,2519,3,3
110,33,Unknown,Sales Executive,Female,1,1569,4,0
111,37,Research & Development,Laboratory Technician,Male,0,3072,3,1
112,37,Research & Development,Manufacturing Director,Female,0,10502,3,7
113,29,Sales,Sales Executive,Male,0,5813,4,10
114,48,Research & Development,Laboratory Technician,Female,0,3838,3,3
115,27,Research & Development,Healthcare Representative,Male,0,5228,3,13
116,25,Research & Development,Laboratory Technician,Unknown,0,3491,3,3
119,33,IT,Healthcare Representative,Male,0,7412,3,12
120,35,Sales,Sales Executive,Male,0,5324,3,2
121,22,Research & Development,Research Scientist,Male,0,2394,3,4
122,45,Research & Development,Healthcare Representative,Female,0,10169,3,24
123,49,Human Resources,Research Scientist,Female,0,6434,3,7
124,34,Sales,Sales Executive,Male,0,6377,3,10
125,35,Sales,Sales Executive,Female,0,9713,3,10
126,27,Research & Development,Healthcare Representative,Male,0,6883,3,7
127,41,Sales,Sales Executive,Female,1,8726,3,4
128,23,Sales,Sales Representative,Male,1,2500,3,1
129,40,Research & Development,Healthcare Representative,Female,0,6755,3,5
131,32,Human Resources,Sales Executive,Male,0,8998,4,9
132,38,Sales,Sales Representative,Male,0,2835,3,2
133,41,Sales,Manager,Unknown,0,11836,3,6
134,35,Sales,Sales Executive,Female,0,6652,3,5
135,45,Research & Development,Laboratory Technician,Female,0,2176,3,5
136,51,Research & Development,Research Director,Male,0,13582,4,16
137,31,Sales,Sales Executive,Male,1,5151,3,10
138,38,Research & Development,Healthcare Representative,Male,0,13964,3,3
139,35,Sales,Sales Executive,Male,0,7847,3,7
140,38,Human Resources,Human Resources,Male,1,2335,3,2
141,31,Human Resources,Laboratory Technician,Male,0,2174,3,1
142,29,Research & Development,Research Scientist,Male,0,3162,4,3
143,34,Research & Development,Healthcare Representative,Female,0,6694,3,0
144,35,Sales,Sales Executive,Male,0,5373,3,5
145,32,Research & Development,Healthcare Representative,Male,0,6334,4,6
146,34,IT,Research Scientist,Male,0,4647,3,10
147,29,Research & Development,Manufacturing Director,Male,0,6694,3,2
148,42,Research & Development,Healthcare Representative,Male,0,7441,4,8
149,35,Research & Development,Laboratory Technician,Male,0,2235,3,11
150,35,Human Resources,Laboratory Technician,Male,1,2515,4,1
151,39,Human Resources,Human Resources,Male,0,5257,3,2
152,35,Research & Development,Laboratory Technician,Male,0,2973,3,1
153,31,Sales,Sales Executive,Male,0,6397,3,5
154,26,Research & Development,Research Scientist,Male,0,3419,3,5
155,27,Sales,Sales Executive,Male,0,5207,3,5
156,36,Research & Development,Manufacturing Director,Male,0,5377,3,7
157,29,Research & Development,Laboratory Technician,Female,0,3180,3,2
158,36,Research & Development,Research Scientist,Female,0,3375,3,2
159,32,Human Resources,Research Scientist,Male,0,2684,3,0
160,42,Research & Development,Manufacturing Director,Female,0,6811,3,8
161,26,Sales,Sales Representative,Female,0,2936,3,6
162,47,Sales,Sales Executive,Male,0,4668,3,7
163,27,Research & Development,Healthcare Representative,Male,0,4240,3,8
164,45,Research & Development,Laboratory Technician,Male,0,5396,3,5
165,43,Research & Development,Laboratory Technician,Female,0,4404,4,5
166,31,Research & Development,Research Scientist,Male,0,2911,3,0
169,45,Research & Development,Manufacturing Director,Male,0,7441,4,8
170,35,Research & Development,Manufacturing Director,Male,0,5470,3,12
171,29,Sales,Sales Executive,Male,0,4724,3,9
172,20,Research & Development,Research Scientist,Female,1,2934,4,5
173,38,Human Resources,Human Resources,Male,0,7143,3,7
174,35,Sales,Human Resources,Female,0,2911,3,3
175,24,Research & Development,Manufacturing Director,Female,0,6674,3,6
176,38,Sales,Sales Executive,Female,0,5980,3,4
177,39,Research & Development,Manufacturing Director,Female,0,6397,3,4
179,34,Research & Development,Healthcare Representative,Male,0,5488,3,15
180,57,Research & Development,Research Scientist,Female,0,5410,3,3
181,39,Research & Development,Research Scientist,Male,0,2127,3,4
182,31,Sales,Sales Representative,Male,0,2559,4,1
183,28,Research & Development,Healthcare Representative,Female,0,6142,3,8
184,35,Research & Development,Manufacturing Director,Male,0,13116,3,8
185,26,Research & Development,Manufacturing Director,Male,0,4319,3,5
186,31,Human Resources,Sales Executive,Female,0,4490,4,10
187,36,Research & Development,Healthcare Representative,Male,1,6389,3,0
188,31,Research & Development,Laboratory Technician,Female,0,2141,3,4
189,29,Human Resources,Sales Executive,Male,1,5689,3,11
190,30,Research & Development,Laboratory Technician,Male,0,2096,3,3
191,39,Research & Development,Laboratory Technician,Male,0,3294,3,8
192,35,Sales,Sales Executive,Female,0,5209,3,4
193,26,Sales,Sales Executive,Female,0,4777,3,0
194,35,Research & Development,Laboratory Technician,Male,0,3072,3,7
195,39,Sales,Sales Executive,Male,0,5204,3,13
196,41,Research & Development,Manufacturing Director,Female,0,10854,3,9
198,33,Research & Development,Laboratory Technician,Female,1,2220,4,3
199,52,Research & Development,Laboratory Technician,Male,0,2366,3,20
201,31,Sales,Sales Executive,Male,0,5249,3,7
202,30,Research & Development,Laboratory Technician,Female,0,3072,4,10
203,35,Research & Development,Research Scientist,Male,1,2351,3,3
204,29,Research & Development,Research Scientist,Female,0,2782,3,3
205,19,Human Resources,Sales Representative,Female,0,2121,4,1
206,42,Research & Development,Healthcare Representative,Male,0,10648,4,20
207,29,Research & Development,Research Director,Male,0,11713,3,10
208,25,Research & Development,Research Scientist,Unknown,0,3408,3,4
209,35,Sales,Sales Representative,Male,0,2404,3,3
210,30,Sales,Sales Executive,Male,0,5593,3,10
211,35,Research & Development,Manufacturing Director,Male,0,7870,3,9
212,29,Research & Development,Research Scientist,Female,0,3057,4,5
213,28,Research & Development,Research Scientist,Female,0,2718,3,5
214,35,Sales,Sales Executive,Male,0,6538,3,5
216,30,Research & Development,Manufacturing Director,Female,0,7969,3,10
217,45,Sales,Sales Executive,Female,0,13734,3,12
218,35,Sales,Sales Executive,Female,0,5237,4,6
219,45,Research & Development,Healthcare Representative,Female,0,7880,3,11
220,39,Research & Development,Research Scientist,Male,0,3452,3,6
221,30,Research & Development,Manufacturing Director,Male,0,10903,3,7
222,46,Research & Development,Laboratory Technician,Male,0,5902,3,17
223,31,Research & Development,Research Scientist,Male,0,2226,4,6
224,26,Research & Development,Research Scientist,Male,0,4774,3,8
225,30,Research & Development,Research Scientist,Male,0,2546,4,8
226,45,Research & Development,Research Scientist,Male,0,2008,3,1
227,27,Research & Development,Laboratory Technician,Female,0,3617,3,2
228,38,Research & Development,Manufacturing Director,Unknown,0,6272,3,16
231,40,Research & Development,Healthcare Representative,Male,0,10435,3,18
232,41,Research & Development,Laboratory Technician,Male,0,4968,3,3
233,35,Research & Development,Laboratory Technician,Unknown,0,1274,3,1
235,36,Research & Development,Healthcare Representative,Male,1,7632,3,10
236,39,Sales,Sales Executive,Male,0,4998,3,7
238,57,Research & Development,Manufacturing Director,Male,0,5468,3,7
239,34,Research & Development,Manufacturing Director,Unknown,0,8722,3,9
240,35,Research & Development,Laboratory Technician,Male,0,2800,3,5
241,34,Sales,Sales Representative,Male,0,2285,3,1
242,44,Research & Development,Manufacturing Director,Female,0,5070,3,7
243,35,Sales,Sales Executive,Male,0,7446,3,10
244,36,Sales,Research Director,Male,0,13664,3,6
245,27,Research & Development,Laboratory Technician,Male,1,3229,3,3
246,36,Research & Development,Laboratory Technician,Male,1,3646,3,0
247,36,Research & Development,Laboratory Technician,Male,0,3761,3,4
248,21,Research & Development,Research Scientist,Unknown,0,2821,3,2
249,28,Research & Development,Laboratory Technician,Female,0,3617,3,3
251,30,IT,Sales Executive,Female,0,5207,3,9
252,34,Research & Development,Healthcare Representative,Male,0,4736,3,5
253,39,Research & Development,Manufacturing Director,Male,0,4272,3,2
254,35,Research & Development,Laboratory Technician,Female,0,1675,3,0
255,39,Sales,Sales Executive,Female,0,8620,3,8
256,35,Sales,Sales Representative,Male,1,2014,3,2
257,35,Research & Development,Research Scientist,Male,0,4377,3,6
258,28,Research & Development,Research Scientist,Male,0,3072,3,10
259,41,Sales,Sales Executive,Female,0,9852,3,10
260,31,Sales,Manager,Male,0,1514,4,1
261,36,Research & Development,Healthcare Representative,Male,0,5538,3,9
262,56,Unknown,Manufacturing Director,Female,0,6586,3,7
263,36,Research & Development,Research Scientist,Male,0,2086,4,4
264,36,Human Resources,Human Resources,Female,0,2180,3,3
265,31,Sales,Sales Executive,Male,0,6118,3,4
266,46,Sales,Sales Executive,Male,0,10512,3,22
267,38,Research & Development,Manufacturing Director,Male,0,6179,4,7
268,31,Sales,Sales Executive,Male,1,9204,3,20
269,36,Research & Development,Research Director,Male,0,13348,4,17
270,28,Research & Development,Laboratory Technician,Male,0,2089,3,5
272,26,Research & Development,Laboratory Technician,Female,1,2380,3,1
273,45,Research & Development,Healthcare Representative,Male,0,6877,3,8
274,31,Human Resources,Human Resources,Male,0,2741,3,2
275,27,Sales,Sales Executive,Female,0,5714,3,7
276,29,Sales,Sales Executive,Male,0,4999,4,3
277,39,Sales,Sales Executive,Male,0,6201,3,15
278,27,Sales,Research Scientist,Female,1,3579,3,9
279,27,Research & Development,Manufacturing Director,Female,0,6673,3,7
280,30,Sales,Sales Executive,Male,0,7553,3,8
281,23,Research & Development,Research Scientist,Female,0,3904,3,2
282,45,Sales,Sales Executive,Female,1,4736,3,9
283,34,Research & Development,Research Scientist,Male,0,2996,3,4
284,58,Human Resources,Healthcare Representative,Female,0,10388,3,3
285,35,Sales,Sales Executive,Male,0,6120,3,6
286,27,Sales,Sales Representative,Male,1,2819,3,7
287,34,Research & Development,Laboratory Technician,Female,0,3646,3,4
288,45,Sales,Sales Executive,Male,0,6220,4,7
290,26,IT,Human Resources,Male,0,2686,3,4
291,35,Research & Development,Research Director,Male,0,11994,4,9
292,33,Research & Development,Research Director,Male,0,13464,3,1
293,48,IT,Sales Executive,Female,0,5231,3,0
294,58,Research & Development,Manufacturing Director,Female,0,10903,4,1
295,55,Unknown,Sales Executive,Male,0,13695,3,12
296,21,Research & Development,Laboratory Technician,Male,0,3646,3,3
297,46,Research & Development,Manager,Female,0,11631,3,10
298,35,Research & Development,Laboratory Technician,Female,0,3669,3,6
299,35,Sales,Research Scientist,Male,0,2936,3,3
300,40,Sales,Sales Executive,Male,0,9204,3,4
301,58,Research & Development,Research Scientist,Male,0,2546,3,2
302,48,Research & Development,Research Scientist,Male,0,2372,3,2
303,52,Sales,Sales Executive,Female,0,7547,3,8
304,36,Human Resources,Sales Executive,Female,0,7104,3,3
305,44,Unknown,Laboratory Technician,Male,0,3633,4,3
306,28,Research & Development,Healthcare Representative,Male,1,5228,3,7
307,34,Research & Development,Research Scientist,Male,0,2760,3,7
308,38,Sales,Sales Representative,Unknown,0,3646,3,0
309,35,Sales,Sales Representative,Male,1,2800,3,1
310,34,Research & Development,Laboratory Technician,Male,0,2432,3,9
311,19,Human Resources,Sales Executive,Female,0,5231,3,6
312,31,Research & Development,Laboratory Technician,Male,0,3722,3,10
313,56,Research & Development,Manufacturing Director,Male,0,10453,3,24
314,35,Research & Development,Laboratory Technician,Male,0,2596,3,2
315,30,Sales,Sales Executive,Male,0,5768,3,11
316,46,IT,Sales Executive,Male,0,10527,3,16
317,36,Research & Development,Healthcare Representative,Male,0,6524,4,10
318,39,Research & Development,Manufacturing Director,Female,0,4244,4,4
319,37,Sales,Sales Executive,Male,0,5454,4,5
320,32,Sales,Sales Representative,Female,0,2592,3,1
321,27,Human Resources,Research Scientist,Female,0,2450,4,3
322,35,Research & Development,Manufacturing Director,Male,0,4577,4,1
323,32,Research & Development,Research Scientist,Male,0,3920,3,5
324,31,Research & Development,Research Scientist,Unknown,0,2657,4,7
325,50,Research & Development,Healthcare Representative,Male,0,10820,3,5
326,32,Sales,Sales Executive,Male,0,9071,3,7
327,49,Research & Development,Laboratory Technician,Male,0,2450,4,9
328,43,Research & Development,Research Director,Male,0,11916,3,4
329,33,Research & Development,Laboratory Technician,Male,0,4084,3,4
330,30,Human Resources,Human Resources,Male,0,8837,3,14
331,35,Research & Development,Laboratory Technician,Female,0,2342,4,5
332,35,Sales,Sales Representative,Male,0,3117,3,0
333,34,Research & Development,Laboratory Technician,Male,0,2332,4,4
334,41,Research & Development,Manufacturing Director,Male,0,4332,4,20
335,27,Human Resources,Research Scientist,Female,0,2342,3,5
336,25,Sales,Sales Executive,Male,0,4221,3,4
337,32,Research & Development,Research Scientist,Female,0,3975,3,3
339,26,Research & Development,Manufacturing Director,Male,1,8726,3,9
340,40,Sales,Sales Executive,Male,0,13402,4,19
341,26,Human Resources,Sales Executive,Male,0,6274,3,5
342,28,Research & Development,Research Scientist,Female,0,3539,3,8
343,35,Research & Development,Manufacturing Director,Female,0,4779,3,4
344,25,Research & Development,Healthcare Representative,Male,1,1223,4,1
345,35,Human Resources,Laboratory Technician,Unknown,0,3673,3,9
346,35,Human Resources,Laboratory Technician,Male,1,3989,3,5
347,51,Sales,Sales Executive,Female,0,10502,3,7
348,41,Research & Development,Manufacturing Director,Female,0,5207,4,1
349,54,Human Resources,Sales Executive,Male,1,5346,3,1
350,22,Research & Development,Research Scientist,Female,0,2174,3,3
351,29,Research & Development,Manufacturing Director,Unknown,0,5238,3,4
352,40,Research & Development,Research Scientist,Female,0,3420,3,5
353,38,Research & Development,Manufacturing Director,Male,0,4033,3,4
354,35,Research & Development,Research Scientist,Female,0,3539,3,7
355,45,Research & Development,Research Scientist,Female,0,2619,3,4
356,37,Research & Development,Research Scientist,Female,0,2942,3,6
357,46,Research & Development,Healthcare Representative,Female,0,6244,4,12
358,50,Sales,Sales Executive,Male,0,4728,3,5
359,36,Research & Development,Healthcare Representative,Female,0,8008,3,5
360,38,IT,Sales Representative,Male,0,2899,3,2
361,24,Sales,Sales Executive,Female,0,6274,3,6
362,25,Sales,Sales Representative,Male,0,2795,3,2
363,40,Research & Development,Manufacturing Director,Female,0,7143,3,20
364,18,Research & Development,Laboratory Technician,Male,0,3646,3,10
365,20,Sales,Sales Representative,Male,0,2867,3,2
366,32,Research & Development,Laboratory Technician,Male,1,3211,4,7
367,45,Unknown,Sales Executive,Male,0,5206,3,7
368,35,Research & Development,Research Scientist,Male,0,2559,3,4
369,27,Sales,Sales Executive,Male,0,5147,4,7
370,30,Sales,Sales Representative,Male,0,9250,3,1
371,35,Research & Development,Healthcare Representative,Female,0,6811,3,10
372,32,Research & Development,Manufacturing Director,Unknown,0,5582,3,4
375,31,Research & Development,Research Scientist,Male,1,3748,3,3
376,32,Research & Development,Research Scientist,Male,0,2342,3,2
377,31,Sales,Sales Executive,Female,0,6434,3,4
378,21,Research & Development,Research Scientist,Male,0,3785,3,3
380,32,Sales,Manager,Male,0,1706,3,0
381,36,Sales,Sales Executive,Male,0,8606,3,13
382,18,Research & Development,Laboratory Technician,Male,1,1675,3,0
383,41,Research & Development,Research Scientist,Male,0,2889,3,5
385,25,Sales,Sales Executive,Female,0,4568,3,8
386,45,Research & Development,Research Director,Female,0,13525,3,9
389,38,Research & Development,Manufacturing Director,Female,0,4534,3,17
390,40,Research & Development,Manufacturing Director,Female,0,5126,3,3
391,38,Research & Development,Manufacturing Director,Male,0,4663,3,1
392,27,Research & Development,Research Scientist,Female,0,2956,3,8
393,42,Research & Development,Research Scientist,Male,0,2356,3,10
394,43,Sales,Sales Executive,Female,0,5070,4,7
396,29,Research & Development,Laboratory Technician,Female,0,2319,3,1
398,31,Human Resources,Research Scientist,Male,0,3420,3,5
399,59,Human Resources,Sales Executive,Male,0,5094,3,1
400,38,Research & Development,Laboratory Technician,Male,0,4810,3,1
401,40,Research & Development,Manufacturing Director,Female,0,5410,3,8
402,32,Research & Development,Research Director,Female,0,11416,3,9
404,38,Research & Development,Research Scientist,Male,0,2956,3,1
406,23,Research & Development,Laboratory Technician,Male,0,3760,3,6
408,35,Research & Development,Laboratory Technician,Female,0,2285,3,2
409,36,Research & Development,Healthcare Representative,Male,0,5562,3,3
410,34,Research & Development,Healthcare Representative,Male,0,5033,3,15
411,31,Research & Development,Manufacturing Director,Female,0,5121,4,7
412,36,Sales,Sales Executive,Male,0,9980,3,15
413,28,Research & Development,Research Scientist,Male,0,2194,3,5
414,35,Sales,Manager,Female,0,11849,3,14
415,31,Research & Development,Healthcare Representative,Male,0,10552,3,1
416,18,Sales,Research Scientist,Male,0,1200,3,0
417,31,Sales,Sales Executive,Female,0,5304,3,7
418,40,Sales,Sales Executive,Female,0,7457,3,5
419,26,Human Resources,Research Scientist,Female,0,2911,3,10
420,31,Research & Development,Research Scientist,Male,0,3058,3,4
422,40,Sales,Sales Executive,Male,0,4108,3,1
423,34,Sales,Healthcare Representative,Female,0,9714,3,4
424,52,Sales,Sales Executive,Male,0,5467,3,9
425,34,Research & Development,Research Director,Female,1,11557,3,6
426,35,Research & Development,Research Scientist,Female,0,2659,4,8
427,32,Research & Development,Manufacturing Director,Male,0,5473,3,4
428,29,Research & Development,Manufacturing Director,Male,0,4960,3,7
429,23,Research & Development,Research Scientist,Male,0,2836,3,1
430,31,Human Resources,Research Scientist,Male,0,3201,4,2
431,36,Research & Development,Laboratory Technician,Female,1,2351,3,1
432,35,Research & Development,Research Scientist,Male,0,2678,3,3
433,30,Sales,Sales Executive,Female,0,5343,3,1
434,29,Research & Development,Research Scientist,Male,0,5674,3,10
435,38,Research & Development,Healthcare Representative,Female,0,10325,3,15
436,41,Research & Development,Laboratory Technician,Male,0,2296,3,1
437,45,Sales,Sales Executive,Male,1,5486,3,8
438,36,Research & Development,Laboratory Technician,Male,0,3452,3,5
439,28,Research & Development,Laboratory Technician,Male,1,2436,3,6
440,29,Research & Development,Laboratory Technician,Female,0,2404,3,1
441,30,Sales,Sales Executive,Male,0,5326,4,5
442,35,Sales,Sales Executive,Female,0,4197,3,5
443,31,Research & Development,Research Scientist,Male,0,2718,3,3
444,43,Research & Development,Manufacturing Director,Male,0,4448,3,7
445,60,Sales,Sales Executive,Male,0,13269,3,17
446,38,Research & Development,Laboratory Technician,Male,0,3917,3,3
447,27,Research & Development,Research Scientist,Female,0,3517,3,1
448,54,Sales,Sales Executive,Male,0,9250,3,5
449,36,Research & Development,Laboratory Technician,Male,1,2644,3,2
450,35,IT,Laboratory Technician,Male,0,3346,4,1
451,45,Sales,Sales Executive,Female,0,10453,4,24
452,41,Research & Development,Healthcare Representative,Female,0,7406,3,6
454,38,Human Resources,Human Resources,Male,0,10609,3,15
455,40,Sales,Sales Executive,Male,0,8998,3,9
456,30,Sales,Sales Executive,Male,0,4148,3,11
457,25,Sales,Laboratory Technician,Male,0,3917,3,3
458,25,Sales,Sales Executive,Male,0,4162,3,5
459,40,Research & Development,Laboratory Technician,Male,0,5405,3,20
460,26,Sales,Sales Executive,Male,0,6232,3,4
461,39,Research & Development,Research Scientist,Male,0,3074,3,5
462,46,Sales,Sales Executive,Female,0,6500,3,9
463,35,Research & Development,Laboratory Technician,Male,0,3702,3,2
464,36,IT,Laboratory Technician,Male,0,2696,3,1
465,32,Human Resources,Human Resources,Female,0,3212,3,6
466,50,Unknown,Research Scientist,Male,0,2380,3,1
467,41,Research & Development,Manufacturing Director,Male,0,6180,3,7
468,45,Research & Development,Research Scientist,Unknown,0,4478,3,4
469,34,Research & Development,Manufacturing Director,Female,0,4345,4,15
470,33,Research & Development,Research Scientist,Male,0,5775,3,7
471,35,Sales,Sales Representative,Male,0,2231,3,2
472,27,Research & Development,Laboratory Technician,Female,0,2559,3,2
473,34,Research & Development,Research Scientist,Female,0,2768,3,1
475,36,Research & Development,Laboratory Technician,Male,1,2342,4,5
476,27,Sales,Sales Representative,Male,0,2308,4,9
477,30,Research & Development,Laboratory Technician,Female,0,3196,3,8
478,35,Research & Development,Manufacturing Director,Female,0,6162,3,8
479,30,Sales,Sales Executive,Male,0,10448,3,9
480,29,Research & Development,Laboratory Technician,Male,1,2468,3,5
481,35,Human Resources,Sales Executive,Unknown,0,4601,4,15
482,36,Human Resources,Research Scientist,Male,0,2756,3,5
483,36,IT,Research Scientist,Male,0,2244,3,8
484,35,Research & Development,Research Scientist,Male,0,5745,3,15
485,35,Sales,Sales Executive,Male,0,5346,3,0
486,26,Research & Development,Manufacturing Director,Male,0,4614,3,3
487,39,Human Resources,Laboratory Technician,Female,0,5689,3,10
488,30,Research & Development,Research Scientist,Male,0,3907,3,6
489,22,Human Resources,Research Scientist,Female,0,2686,3,3
490,40,Research & Development,Manufacturing Director,Male,0,10903,3,12
491,46,Sales,Sales Executive,Unknown,0,9699,3,2
492,39,Research & Development,Research Scientist,Male,0,4678,3,5
493,50,Human Resources,Research Director,Male,0,13194,3,9
494,40,Research & Development,Manager,Male,0,12808,3,8
495,35,Research & Development,Laboratory Technician,Male,0,2683,3,3
496,26,Research & Development,Laboratory Technician,Male,0,2853,4,1
497,33,Research & Development,Laboratory Technician,Male,0,2514,3,11
498,22,Research & Development,Laboratory Technician,Male,0,2693,3,1
499,40,Research & Development,Research Director,Female,0,13191,4,1
500,33,Sales,Sales Executive,Male,0,4189,3,5
501,38,Research & Development,Laboratory Technician,Male,1,2372,4,0
502,36,Research & Development,Laboratory Technician,Male,0,5207,3,17
503,35,Research & Development,Laboratory Technician,Female,0,1675,4,1
504,38,IT,Sales Executive,Male,0,6877,3,0
505,43,Research & Development,Laboratory Technician,Male,0,10502,4,3
507,24,Sales,Sales Representative,Male,0,4876,3,5
508,36,Research & Development,Research Scientist,Female,0,3646,3,1
509,31,Research & Development,Research Scientist,Male,1,2856,3,2
510,34,Sales,Sales Executive,Female,0,6825,3,6
511,37,Sales,Sales Executive,Male,0,6500,3,6
512,34,Research & Development,Research Scientist,Male,0,5056,3,15
513,35,Research & Development,Laboratory Technician,Male,0,3681,3,5
514,43,Research & Development,Laboratory Technician,Male,0,2819,3,0
515,25,Research & Development,Laboratory Technician,Female,0,3730,4,7
516,30,Research & Development,Research Scientist,Female,0,6811,3,8
517,29,Sales,Sales Executive,Female,0,4323,3,9
518,40,Human Resources,Sales Executive,Male,0,5473,3,3
519,29,Research & Development,Laboratory Technician,Male,0,2570,3,8
520,27,Sales,Sales Executive,Female,0,4759,4,10
521,35,Research & Development,Research Scientist,Male,1,2380,3,1
522,51,Sales,Sales Executive,Male,0,4537,3,4
